2024-07-19 11:38:10,769 [main] INFO  c.example.quizapp.QuizAppApplication ------ Starting QuizAppApplication using Java 18.0.2.1 with PID 14392 (C:\Users\haren\Desktop\REST\Rest_Mysql_App\target\classes started by haren in C:\Users\haren\Desktop\REST\Rest_Mysql_App) 
2024-07-19 11:38:10,771 [main] DEBUG c.example.quizapp.QuizAppApplication ------ Running with Spring Boot v3.3.1, Spring v6.1.10 
2024-07-19 11:38:10,772 [main] INFO  c.example.quizapp.QuizAppApplication ------ No active profile set, falling back to 1 default profile: "default" 
2024-07-19 11:38:11,300 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2024-07-19 11:38:11,345 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Finished Spring Data repository scanning in 37 ms. Found 2 JPA repository interfaces. 
2024-07-19 11:38:11,798 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat initialized with port 8080 (http) 
2024-07-19 11:38:11,808 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Initializing ProtocolHandler ["http-nio-8080"] 
2024-07-19 11:38:11,810 [main] INFO  o.a.catalina.core.StandardService ------ Starting service [Tomcat] 
2024-07-19 11:38:11,810 [main] INFO  o.a.catalina.core.StandardEngine ------ Starting Servlet engine: [Apache Tomcat/10.1.25] 
2024-07-19 11:38:11,862 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring embedded WebApplicationContext 
2024-07-19 11:38:11,863 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ------ Root WebApplicationContext: initialization completed in 1046 ms 
2024-07-19 11:38:12,008 [main] INFO  o.h.jpa.internal.util.LogHelper ------ HHH000204: Processing PersistenceUnitInfo [name: default] 
2024-07-19 11:38:12,070 [main] INFO  org.hibernate.Version ------ HHH000412: Hibernate ORM core version 6.5.2.Final 
2024-07-19 11:38:12,104 [main] INFO  o.h.c.i.RegionFactoryInitiator ------ HHH000026: Second-level cache disabled 
2024-07-19 11:38:12,357 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo ------ No LoadTimeWeaver setup: ignoring JPA class transformer 
2024-07-19 11:38:12,379 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Starting... 
2024-07-19 11:38:12,514 [main] INFO  com.zaxxer.hikari.pool.HikariPool ------ HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@77ce88c4 
2024-07-19 11:38:12,516 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Start completed. 
2024-07-19 11:38:12,548 [main] WARN  org.hibernate.orm.deprecation ------ HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
2024-07-19 11:38:13,232 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator ------ HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
2024-07-19 11:38:13,295 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Initialized JPA EntityManagerFactory for persistence unit 'default' 
2024-07-19 11:38:13,496 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory ------ Hibernate is in classpath; If applicable, HQL parser will be used. 
2024-07-19 11:38:13,597 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration ------ spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2024-07-19 11:38:13,914 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Starting ProtocolHandler ["http-nio-8080"] 
2024-07-19 11:38:13,934 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat started on port 8080 (http) with context path '/' 
2024-07-19 11:38:13,943 [main] INFO  c.example.quizapp.QuizAppApplication ------ Started QuizAppApplication in 3.46 seconds (process running for 3.879) 
2024-07-19 11:38:29,003 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring DispatcherServlet 'dispatcherServlet' 
2024-07-19 11:38:29,003 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ------ Initializing Servlet 'dispatcherServlet' 
2024-07-19 11:38:29,004 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ------ Completed initialization in 1 ms 
2024-07-19 11:38:29,027 [http-nio-8080-exec-1] TRACE c.e.q.controller.QuestionController ------ serving a getAllQuestions request 
2024-07-19 11:38:48,971 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Closing JPA EntityManagerFactory for persistence unit 'default' 
2024-07-19 11:38:48,972 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown initiated... 
2024-07-19 11:38:48,976 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown completed. 
2024-07-20 12:05:46,617 [main] INFO  c.example.quizapp.QuizAppApplication ------ Starting QuizAppApplication using Java 18.0.2.1 with PID 29584 (C:\Users\haren\Desktop\REST\Rest_Mysql_App\target\classes started by haren in C:\Users\haren\Desktop\REST\Rest_Mysql_App) 
2024-07-20 12:05:46,621 [main] DEBUG c.example.quizapp.QuizAppApplication ------ Running with Spring Boot v3.3.1, Spring v6.1.10 
2024-07-20 12:05:46,622 [main] INFO  c.example.quizapp.QuizAppApplication ------ No active profile set, falling back to 1 default profile: "default" 
2024-07-20 12:05:47,526 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2024-07-20 12:05:47,583 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Finished Spring Data repository scanning in 49 ms. Found 2 JPA repository interfaces. 
2024-07-20 12:05:48,230 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat initialized with port 8080 (http) 
2024-07-20 12:05:48,242 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Initializing ProtocolHandler ["http-nio-8080"] 
2024-07-20 12:05:48,245 [main] INFO  o.a.catalina.core.StandardService ------ Starting service [Tomcat] 
2024-07-20 12:05:48,245 [main] INFO  o.a.catalina.core.StandardEngine ------ Starting Servlet engine: [Apache Tomcat/10.1.25] 
2024-07-20 12:05:48,310 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring embedded WebApplicationContext 
2024-07-20 12:05:48,312 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ------ Root WebApplicationContext: initialization completed in 1610 ms 
2024-07-20 12:05:48,479 [main] INFO  o.h.jpa.internal.util.LogHelper ------ HHH000204: Processing PersistenceUnitInfo [name: default] 
2024-07-20 12:05:48,545 [main] INFO  org.hibernate.Version ------ HHH000412: Hibernate ORM core version 6.5.2.Final 
2024-07-20 12:05:48,580 [main] INFO  o.h.c.i.RegionFactoryInitiator ------ HHH000026: Second-level cache disabled 
2024-07-20 12:05:48,853 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo ------ No LoadTimeWeaver setup: ignoring JPA class transformer 
2024-07-20 12:05:48,878 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Starting... 
2024-07-20 12:05:49,047 [main] INFO  com.zaxxer.hikari.pool.HikariPool ------ HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2cd3fc29 
2024-07-20 12:05:49,048 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Start completed. 
2024-07-20 12:05:49,089 [main] WARN  org.hibernate.orm.deprecation ------ HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
2024-07-20 12:05:49,837 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator ------ HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
2024-07-20 12:05:49,922 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Initialized JPA EntityManagerFactory for persistence unit 'default' 
2024-07-20 12:05:50,196 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory ------ Hibernate is in classpath; If applicable, HQL parser will be used. 
2024-07-20 12:05:50,254 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration ------ spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2024-07-20 12:05:50,559 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Starting ProtocolHandler ["http-nio-8080"] 
2024-07-20 12:05:50,579 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat started on port 8080 (http) with context path '/' 
2024-07-20 12:05:50,587 [main] INFO  c.example.quizapp.QuizAppApplication ------ Started QuizAppApplication in 4.34 seconds (process running for 4.86) 
2024-07-20 12:14:07,792 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Closing JPA EntityManagerFactory for persistence unit 'default' 
2024-07-20 12:14:07,794 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown initiated... 
2024-07-20 12:14:07,797 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown completed. 
2024-07-22 12:23:21,363 [main] INFO  c.example.quizapp.QuizAppApplication ------ Starting QuizAppApplication using Java 18.0.2.1 with PID 1908 (C:\Users\haren\Desktop\REST\Rest_Mysql_App\target\classes started by haren in C:\Users\haren\Desktop\REST\Rest_Mysql_App) 
2024-07-22 12:23:21,367 [main] INFO  c.example.quizapp.QuizAppApplication ------ No active profile set, falling back to 1 default profile: "default" 
2024-07-22 12:23:22,264 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2024-07-22 12:23:22,331 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Finished Spring Data repository scanning in 59 ms. Found 2 JPA repository interfaces. 
2024-07-22 12:23:23,010 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat initialized with port 8080 (http) 
2024-07-22 12:23:23,020 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Initializing ProtocolHandler ["http-nio-8080"] 
2024-07-22 12:23:23,023 [main] INFO  o.a.catalina.core.StandardService ------ Starting service [Tomcat] 
2024-07-22 12:23:23,023 [main] INFO  o.a.catalina.core.StandardEngine ------ Starting Servlet engine: [Apache Tomcat/10.1.25] 
2024-07-22 12:23:23,088 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring embedded WebApplicationContext 
2024-07-22 12:23:23,089 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ------ Root WebApplicationContext: initialization completed in 1631 ms 
2024-07-22 12:23:23,270 [main] INFO  o.h.jpa.internal.util.LogHelper ------ HHH000204: Processing PersistenceUnitInfo [name: default] 
2024-07-22 12:23:23,335 [main] INFO  org.hibernate.Version ------ HHH000412: Hibernate ORM core version 6.5.2.Final 
2024-07-22 12:23:23,369 [main] INFO  o.h.c.i.RegionFactoryInitiator ------ HHH000026: Second-level cache disabled 
2024-07-22 12:23:23,643 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo ------ No LoadTimeWeaver setup: ignoring JPA class transformer 
2024-07-22 12:23:23,668 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Starting... 
2024-07-22 12:23:23,830 [main] INFO  com.zaxxer.hikari.pool.HikariPool ------ HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6eabe718 
2024-07-22 12:23:23,832 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Start completed. 
2024-07-22 12:23:23,881 [main] WARN  org.hibernate.orm.deprecation ------ HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
2024-07-22 12:23:24,652 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator ------ HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
2024-07-22 12:23:24,737 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Initialized JPA EntityManagerFactory for persistence unit 'default' 
2024-07-22 12:23:24,953 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory ------ Hibernate is in classpath; If applicable, HQL parser will be used. 
2024-07-22 12:23:25,073 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration ------ spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2024-07-22 12:23:25,536 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration ------ 

Using generated security password: 6f4cd1f2-be21-41b4-9aad-62969413e0e8

This generated password is for development use only. Your security configuration must be updated before running your application in production.
 
2024-07-22 12:23:25,556 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer ------ Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager 
2024-07-22 12:23:25,726 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Starting ProtocolHandler ["http-nio-8080"] 
2024-07-22 12:23:25,751 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat started on port 8080 (http) with context path '/' 
2024-07-22 12:23:25,762 [main] INFO  c.example.quizapp.QuizAppApplication ------ Started QuizAppApplication in 4.822 seconds (process running for 5.406) 
2024-07-22 12:24:02,050 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring DispatcherServlet 'dispatcherServlet' 
2024-07-22 12:24:02,050 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ------ Initializing Servlet 'dispatcherServlet' 
2024-07-22 12:24:02,051 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ------ Completed initialization in 1 ms 
2024-07-22 12:24:41,817 [http-nio-8080-exec-6] INFO  c.e.q.controller.QuestionController ------ serving a getAllQuestions request 
2024-07-22 12:26:47,842 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Closing JPA EntityManagerFactory for persistence unit 'default' 
2024-07-22 12:26:47,843 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown initiated... 
2024-07-22 12:26:47,847 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown completed. 
2024-07-22 12:49:48,251 [main] INFO  c.example.quizapp.QuizAppApplication ------ Starting QuizAppApplication using Java 18.0.2.1 with PID 15060 (C:\Users\haren\Desktop\REST\Rest_Mysql_App\target\classes started by haren in C:\Users\haren\Desktop\REST\Rest_Mysql_App) 
2024-07-22 12:49:48,256 [main] INFO  c.example.quizapp.QuizAppApplication ------ No active profile set, falling back to 1 default profile: "default" 
2024-07-22 12:49:48,860 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2024-07-22 12:49:48,908 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Finished Spring Data repository scanning in 40 ms. Found 2 JPA repository interfaces. 
2024-07-22 12:49:49,428 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat initialized with port 8080 (http) 
2024-07-22 12:49:49,440 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Initializing ProtocolHandler ["http-nio-8080"] 
2024-07-22 12:49:49,441 [main] INFO  o.a.catalina.core.StandardService ------ Starting service [Tomcat] 
2024-07-22 12:49:49,441 [main] INFO  o.a.catalina.core.StandardEngine ------ Starting Servlet engine: [Apache Tomcat/10.1.25] 
2024-07-22 12:49:49,493 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring embedded WebApplicationContext 
2024-07-22 12:49:49,494 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ------ Root WebApplicationContext: initialization completed in 1188 ms 
2024-07-22 12:49:49,650 [main] INFO  o.h.jpa.internal.util.LogHelper ------ HHH000204: Processing PersistenceUnitInfo [name: default] 
2024-07-22 12:49:49,694 [main] INFO  org.hibernate.Version ------ HHH000412: Hibernate ORM core version 6.5.2.Final 
2024-07-22 12:49:49,724 [main] INFO  o.h.c.i.RegionFactoryInitiator ------ HHH000026: Second-level cache disabled 
2024-07-22 12:49:49,962 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo ------ No LoadTimeWeaver setup: ignoring JPA class transformer 
2024-07-22 12:49:49,987 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Starting... 
2024-07-22 12:49:50,136 [main] INFO  com.zaxxer.hikari.pool.HikariPool ------ HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@320ff86f 
2024-07-22 12:49:50,138 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Start completed. 
2024-07-22 12:49:50,165 [main] WARN  org.hibernate.orm.deprecation ------ HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
2024-07-22 12:49:50,879 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator ------ HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
2024-07-22 12:49:50,944 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Initialized JPA EntityManagerFactory for persistence unit 'default' 
2024-07-22 12:49:51,129 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory ------ Hibernate is in classpath; If applicable, HQL parser will be used. 
2024-07-22 12:49:51,276 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration ------ spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2024-07-22 12:49:51,755 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration ------ 

Using generated security password: fe62d729-adf2-42a4-bf9f-873ca843df03

